group_name,dfes_substation,match_type,suggestion,licence
CALAIS 2,CALAIS 2,exact_spd,,SPD
CALLENDAR,CALLENDAR,exact_spd,,SPD
CAMBUSLANG,CAMBUSLANG,exact_spd,,SPD
CAMELON,CAMELON,exact_spd,,SPD
CAMERON,CAMERON,exact_spd,,SPD
CARDONALD,CARDONALD,exact_spd,,SPD
CARFIN,CARFIN,exact_spd,,SPD
CARGENBRIDGE,CARGENBRIDGE,exact_spd,,SPD
CARMUNNOCK ROAD,CARMUNNOCK ROAD,exact_spd,,SPD
CARNTYNE,CARNTYNE,exact_spd,,SPD
CARRON,CARRON,exact_spd,,SPD
CARRUTHERSTOWN,CARRUTHERSTOWN,exact_spd,,SPD
CASTLANDHILL,CASTLANDHILL,exact_spd,,SPD
CASTLE,CASTLE,exact_spd,,SPD
CASTLE DOUGLAS,CASTLE DOUGLAS,exact_spd,,SPD
